countryname;Year;Inflation-consumer prices
Latvia;1997;8,447383421
Luxembourg;1997;1,367512612
Netherlands;1997;2,109245627
Norway;1997;2,566923359
Poland;1997;14,91315861
Portugal;1997;2,336862983
Romania;1997;154,7634804
Slovenia;1997;8,359679907
Spain;1997;1,971073956
Sweden;1997;0,658410256
Switzerland;1997;0,520225423
Austria;1998;0,922467197
Bulgaria;1998;18,67220444
Croatia;1998;6,396686608
Czechia;1998;10,69836553
Denmark;1998;1,84565122
Estonia;1998;8,208333333
Finland;1998;1,399473786
Germany;1998;0,911183535
Greece;1998;4,766225724
Ireland;1998;2,407680945
Italy;1998;1,955085577
Latvia;1998;4,644214227
Luxembourg;1998;0,95857011
Netherlands;1998;1,959136323
Norway;1998;2,2524133
Poland;1998;11,59785543
Portugal;1998;2,572752259
Romania;1998;59,09658275
Slovenia;1998;7,891166829
Spain;1998;1,834329999
Sweden;1998;-0,267132668
Switzerland;1998;0,017938438
Austria;1999;0,568993766
Bulgaria;1999;2,573042819
Croatia;1999;4,019138756
Czechia;1999;2,135448444
Denmark;1999;2,497795444
Estonia;1999;3,296110897
Finland;1999;1,162231557
Germany;1999;0,585433064
Greece;1999;2,63663306
Ireland;1999;1,629886052
Italy;1999;1,66345995
Latvia;1999;2,364818361
Luxembourg;1999;1,025196765
Netherlands;1999;2,157179181
Norway;1999;2,365967366
Poland;1999;7,154072912
Portugal;1999;2,340094903
Romania;1999;45,80378113
Slovenia;1999;6,155587545
Spain;1999;2,31034814
Sweden;1999;0,462175756
Switzerland;1999;0,806444381
Austria;2000;2,344862854
Bulgaria;2000;10,31626213
Croatia;2000;4,611315547
Czechia;2000;3,775388292
Denmark;2000;2,903282032
Estonia;2000;4,018489525
Finland;2000;3,042100807
Germany;2000;1,440268387
Greece;2000;3,151181625
Ireland;2000;5,577632699
Italy;2000;2,537685321
Latvia;2000;2,654254778
Luxembourg;2000;3,15076707
Netherlands;2000;2,360522338
Norway;2000;3,085506091
Poland;2000;9,900175388
Portugal;2000;2,853030393
Romania;2000;45,66659404
Slovenia;2000;8,911744187
Spain;2000;3,433515634
Sweden;2000;0,899143734
Switzerland;2000;1,558529197
Austria;2001;2,650000773
Bulgaria;2001;7,360939272
Croatia;2001;3,776702467
Czechia;2001;4,66267557
Denmark;2001;2,337870003
Estonia;2001;5,748279817
Finland;2001;2,578440801
Germany;2001;1,983857313
Greece;2001;3,373968322
Ireland;2001;4,852802796
Italy;2001;2,785165427
Latvia;2001;2,487040036
Luxembourg;2001;2,663821106
Netherlands;2001;4,155841272
Norway;2001;3,00419704
Poland;2001;5,408335456
Portugal;2001;4,369903306
Romania;2001;34,47701235
Slovenia;2001;8,379665875
Spain;2001;3,589834133
Sweden;2001;2,405958341
Switzerland;2001;0,98902033
Austria;2002;1,810357878
Bulgaria;2002;5,810143657
Croatia;2002;1,671784374
Czechia;2002;1,90298097
Denmark;2002;2,424436612
Estonia;2002;3,571912702
Finland;2002;1,571220128
Germany;2002;1,420806156
Greece;2002;3,629358719
Ireland;2002;4,628205128
Italy;2002;2,465323192
Latvia;2002;1,938875739
Luxembourg;2002;2,074086136
Netherlands;2002;3,287531047
Norway;2002;1,286725284
Poland;2002;1,90528215
Portugal;2002;3,600346583
Romania;2002;22,53988626
Slovenia;2002;7,480777707
Spain;2002;3,065656859
Sweden;2002;2,158482136
Switzerland;2002;0,642711507
Austria;2003;1,355553709
Bulgaria;2003;2,348641696
Croatia;2003;1,767337808
Czechia;2003;0,118739206
Denmark;2003;2,075078206
Estonia;2003;1,334991165
Finland;2003;0,877440386
Germany;2003;1,034222186
Greece;2003;3,530650278
Ireland;2003;3,492219091
Italy;2003;2,672555528
Latvia;2003;2,942647529
Luxembourg;2003;2,049840306
Netherlands;2003;2,09199839
Norway;2003;2,487825535
Poland;2003;0,682701376
Portugal;2003;3,218990907
Romania;2003;15,27348899
Slovenia;2003;5,544164218
Spain;2003;3,038888394
Sweden;2003;1,925655349
Switzerland;2003;0,638272931
Austria;2004;2,06120618
Bulgaria;2004;6,147130742
Croatia;2004;2,055396791
Czechia;2004;2,760107817
Denmark;2004;1,154356931
Estonia;2004;3,048111075
Finland;2004;0,187120559
Germany;2004;1,665736967
Greece;2004;2,898848108
Ireland;2004;2,178546057
Italy;2004;2,206736614
Latvia;2004;6,192385472
Luxembourg;2004;2,225679164
Netherlands;2004;1,263647392
Norway;2004;0,454498502
Poland;2004;3,382646819
Portugal;2004;2,365362041
Romania;2004;11,87436359
Slovenia;2004;3,592975942
Spain;2004;3,039248811
Sweden;2004;0,373659829
Switzerland;2004;0,802908731
Austria;2005;2,299137856
Bulgaria;2005;5,038838071
Croatia;2005;3,317178244
Czechia;2005;1,857097891
Denmark;2005;1,817814583
Estonia;2005;4,079714232
Finland;2005;0,62387445
Germany;2005;1,546911148
Greece;2005;3,545072733
Ireland;2005;2,456546929
Italy;2005;1,985292985
Latvia;2005;6,748450279
Luxembourg;2005;2,487696652
Netherlands;2005;1,688130179
Norway;2005;1,532133676
Poland;2005;2,183798724
Portugal;2005;2,277163949
Romania;2005;9,014912833
Slovenia;2005;2,451501323
Spain;2005;3,368814098
Sweden;2005;0,453170853
Switzerland;2005;1,171954203
Austria;2006;1,441548511
Bulgaria;2006;7,261594628
Croatia;2006;3,189825915
Czechia;2006;2,533992583
Denmark;2006;1,924221385
Estonia;2006;4,437620424
Finland;2006;1,566663807
Germany;2006;1,577426428
Greece;2006;3,195946841
Ireland;2006;3,93576114
Italy;2006;2,09084391
Latvia;2006;6,536199088
Luxembourg;2006;2,666314946
Netherlands;2006;1,101501065
Norway;2006;2,329349808
Poland;2006;1,284693944
Portugal;2006;3,107665459
Romania;2006;6,558514123
Slovenia;2006;2,457924442
Spain;2006;3,515575768
Sweden;2006;1,360214686
Switzerland;2006;1,059509283
Austria;2007;2,168555288
Bulgaria;2007;8,40253419
Croatia;2007;2,899282756
Czechia;2007;2,853124372
Denmark;2007;1,693265862
Estonia;2007;6,601326031
Finland;2007;2,510665652
Germany;2007;2,298344007
Greece;2007;2,895003215
Ireland;2007;4,885745375
Italy;2007;1,829741122
Latvia;2007;10,09297758
Luxembourg;2007;2,312458618
Netherlands;2007;1,613858598
Norway;2007;0,712589074
Poland;2007;2,458743124
Portugal;2007;2,453965281
Romania;2007;4,837329283
Slovenia;2007;3,657495633
Spain;2007;2,786797458
Sweden;2007;2,212168834
Switzerland;2007;0,732350603
Austria;2008;3,215950332
Bulgaria;2008;12,3487196
Croatia;2008;6,076968388
Czechia;2008;6,358663802
Denmark;2008;3,416267943
Estonia;2008;10,36235803
Finland;2008;4,065953554
Germany;2008;2,628379816
Greece;2008;4,152797081
Ireland;2008;4,035688349
Italy;2008;3,347832584
Latvia;2008;15,40231911
Luxembourg;2008;3,40187963
Netherlands;2008;2,486501983
Norway;2008;3,753930818
Poland;2008;4,164971935
Portugal;2008;2,588506577
Romania;2008;7,850802557
