countryname;Year;gdp_capita_growth
Germany;1988;3,30286371
Greece;1988;3,909777486
Ireland;1988;5,668378546
Italy;1988;4,144042136
Latvia;1988;..
Luxembourg;1988;7,679106042
Netherlands;1988;2,775043521
Norway;1988;-0,79023674
Poland;1988;..
Portugal;1988;7,60090312
Romania;1988;..
Slovenia;1988;..
Spain;1988;4,871692177
Sweden;1988;2,088760557
Switzerland;1988;2,521346921
Austria;1989;3,420101758
Bulgaria;1989;-2,151690705
Croatia;1989;..
Czechia;1989;..
Denmark;1989;0,636785449
Estonia;1989;..
Finland;1989;4,705240845
Germany;1989;3,096180026
Greece;1989;3,259729404
Ireland;1989;6,234039532
Italy;1989;3,310861982
Latvia;1989;..
Luxembourg;1989;8,735315587
Netherlands;1989;3,79556933
Norway;1989;0,622018549
Poland;1989;..
Portugal;1989;6,596070999
Romania;1989;..
Slovenia;1989;..
Spain;1989;4,662815168
Sweden;1989;1,972191234
Switzerland;1989;3,490643162
Austria;1990;3,553547936
Bulgaria;1990;-7,463207654
Croatia;1990;..
Czechia;1990;..
Denmark;1990;1,495248285
Estonia;1990;..
Finland;1990;0,246189629
Germany;1990;4,351639089
Greece;1990;-1,052232898
Ireland;1990;8,375006916
Italy;1990;1,900439794
Latvia;1990;..
Luxembourg;1990;4,009810209
Netherlands;1990;3,46827762
Norway;1990;1,582092859
Poland;1990;..
Portugal;1990;4,177328824
Romania;1990;..
Slovenia;1990;..
Spain;1990;3,67576788
Sweden;1990;-0,020759183
Switzerland;1990;2,615466199
Austria;1991;2,413985952
Bulgaria;1991;-7,534068849
Croatia;1991;-19,60190001
Czechia;1991;-11,40250601
Denmark;1991;1,195218951
Estonia;1991;-7,536694459
Finland;1991;-6,393248756
Germany;1991;4,34522002
Greece;1991;1,869834535
Ireland;1991;1,345298466
Italy;1991;1,468175612
Latvia;1991;-12,18071717
Luxembourg;1991;7,198406194
Netherlands;1991;1,635054635
Norway;1991;2,594405978
Poland;1991;-7,344790996
Portugal;1991;4,609033783
Romania;1991;-12,15844134
Slovenia;1991;-8,957881756
Spain;1991;2,285324702
Sweden;1991;-1,817515151
Switzerland;1991;-2,146489921
Austria;1992;0,976092574
Bulgaria;1992;-6,271263865
Croatia;1992;-9,529110784
Czechia;1992;-0,608213629
Denmark;1992;1,686008158
Estonia;1992;-19,71743315
Finland;1992;-3,853152691
Germany;1992;1,241463921
Greece;1992;-0,066299438
Ireland;1992;2,640607881
Italy;1992;0,765807623
Latvia;1992;-31,17751898
Luxembourg;1992;0,476077004
Netherlands;1992;0,94001509
Norway;1992;2,97836952
Poland;1992;2,201065853
Portugal;1992;1,168103222
Romania;1992;-7,939239528
Slovenia;1992;-5,324911813
Spain;1992;0,436115057
Sweden;1992;-1,736630347
Switzerland;1992;-1,13971907
Austria;1993;-0,298754153
Bulgaria;1993;-0,691213558
Croatia;1993;-8,518295407
Czechia;1993;-0,042053127
Denmark;1993;-0,411249987
Estonia;1993;-3,282449713
Finland;1993;-1,258736784
Germany;1993;-1,622161393
Greece;1993;-2,177150761
Ireland;1993;2,180590253
Italy;1993;-0,913401742
Latvia;1993;-3,090712934
Luxembourg;1993;2,811221308
Netherlands;1993;0,554249588
Norway;1993;2,234836322
Poland;1993;3,47468276
Portugal;1993;-2,163021408
Romania;1993;1,66711861
Slovenia;1993;3,088787914
Spain;1993;-1,543358289
Sweden;1993;-2,632808471
Switzerland;1993;-1,031422365
Austria;1994;2,008761593
Bulgaria;1994;2,164358868
Croatia;1994;4,697052686
Czechia;1994;2,872143539
Denmark;1994;4,939707934
Estonia;1994;0,483692726
Finland;1994;3,517199794
Germany;1994;2,242334879
Greece;1994;1,490558966
Ireland;1994;5,339771666
Italy;1994;2,130215502
Latvia;1994;3,914791352
Luxembourg;1994;2,416629037
Netherlands;1994;2,342168186
Norway;1994;4,458801353
Poland;1994;5,070855523
Portugal;1994;0,69351802
Romania;1994;4,083147899
Slovenia;1994;5,44941394
Spain;1994;1,896906993
Sweden;1994;3,279030731
Switzerland;1994;0,465686404
Austria;1995;2,510912592
Bulgaria;1995;3,321186766
Croatia;1995;7,497786278
Czechia;1995;6,286554611
Denmark;1995;2,50262821
Estonia;1995;6,409660007
Finland;1995;3,837309463
Germany;1995;1,207514851
Greece;1995;1,623825737
Ireland;1995;9,073771069
Italy;1995;2,885202335
Latvia;1995;0,477696353
