countryname;Year;GDP_per_capita
Austria;1991;22323,13125
Bulgaria;1991;1267,734375
Croatia;1991;4000,916774
Czechia;1991;2917,086555
Denmark;1991;27002,80577
Estonia;1991;..
Finland;1991;25488,84505
Germany;1991;23443,33508
Greece;1991;10046,66639
Ireland;1991;14087,2078
Italy;1991;22007,1351
Latvia;1991;..
Luxembourg;1991;35747,3378
Netherlands;1991;21764,2145
Norway;1991;28596,933
Poland;1991;2235,541089
Portugal;1991;8958,985333
Romania;1991;1254,312442
Slovak Republic;1991;2726,593055
Slovenia;1991;7229,311498
Spain;1991;14801,32262
Sweden;1991;31777,0328
Switzerland;1991;39544,49468
Austria;1992;24782,71188
Bulgaria;1992;1211,980878
Croatia;1992;2321,152041
Czechia;1992;3396,709724
Denmark;1992;29579,49136
Estonia;1992;..
Finland;1992;22320,11247
Germany;1992;26559,85439
Greece;1992;11021,01222
Ireland;1992;15714,38475
Italy;1992;23297,04603
Latvia;1992;..
Luxembourg;1992;39570,86157
Netherlands;1992;23939,21735
Norway;1992;30523,98506
Poland;1992;2459,020685
Portugal;1992;10810,56651
Romania;1992;1102,103785
Slovak Republic;1992;2959,336449
Slovenia;1992;7151,152438
Spain;1992;16100,67994
Sweden;1992;32753,8047
Switzerland;1992;40713,68815
Austria;1993;23987,20372
Bulgaria;1993;1278,525114
Croatia;1993;2447,503191
Czechia;1993;3984,146344
Denmark;1993;27581,72411
Estonia;1993;2685,908893
Finland;1993;17588,67817
Germany;1993;25616,65088
Greece;1993;10257,30858
Ireland;1993;14657,06155
Italy;1993;18781,95294
Latvia;1993;..
Luxembourg;1993;40066,72425
Netherlands;1993;23156,44044
Norway;1993;27963,69791
Poland;1993;2497,130559
Portugal;1993;9534,656364
Romania;1993;1158,056328
Slovak Republic;1993;3143,101431
Slovenia;1993;7254,588874
Spain;1993;13330,37982
Sweden;1993;24390,1538
Switzerland;1993;39237,11866
Austria;1994;25546,24605
Bulgaria;1994;1148,494399
Croatia;1994;3237,926463
Czechia;1994;4663,286653
Denmark;1994;29967,83039
Estonia;1994;2819,126121
Finland;1994;20278,2911
Germany;1994;27201,95936
Greece;1994;10937,02238
Ireland;1994;15902,92968
Italy;1994;19382,20022
Latvia;1994;..
Luxembourg;1994;43933,23544
Netherlands;1994;24682,58667
Norway;1994;29315,80923
Poland;1994;2874,831636
Portugal;1994;9977,319909
Romania;1994;1323,032378
Slovak Republic;1994;3820,964275
Slovenia;1994;8243,898955
Spain;1994;13405,70441
Sweden;1994;26045,81489
Switzerland;1994;43091,7771
